14-CF1_S89_L001_R1_001.fastq.gz	14-CF1_S89_L001_R2_001.fastq.gz	D14_CF1_S89	D14_CF1_S89.merged.fastq	D14_CF1_S89.filtered.fasta
14-CF2_S90_L001_R1_001.fastq.gz	14-CF2_S90_L001_R2_001.fastq.gz	D14_CF2_S90	D14_CF2_S90.merged.fastq	D14_CF2_S90.filtered.fasta
14-CF3_S91_L001_R1_001.fastq.gz	14-CF3_S91_L001_R2_001.fastq.gz	D14_CF3_S91	D14_CF3_S91.merged.fastq	D14_CF3_S91.filtered.fasta
14-CF4_S92_L001_R1_001.fastq.gz	14-CF4_S92_L001_R2_001.fastq.gz	D14_CF4_S92	D14_CF4_S92.merged.fastq	D14_CF4_S92.filtered.fasta
14-CF5_S93_L001_R1_001.fastq.gz	14-CF5_S93_L001_R2_001.fastq.gz	D14_CF5_S93	D14_CF5_S93.merged.fastq	D14_CF5_S93.filtered.fasta
14-CM1_S84_L001_R1_001.fastq.gz	14-CM1_S84_L001_R2_001.fastq.gz	D14_CM1_S84	D14_CM1_S84.merged.fastq	D14_CM1_S84.filtered.fasta
14-CM2_S85_L001_R1_001.fastq.gz	14-CM2_S85_L001_R2_001.fastq.gz	D14_CM2_S85	D14_CM2_S85.merged.fastq	D14_CM2_S85.filtered.fasta
14-CM3_S86_L001_R1_001.fastq.gz	14-CM3_S86_L001_R2_001.fastq.gz	D14_CM3_S86	D14_CM3_S86.merged.fastq	D14_CM3_S86.filtered.fasta
14-CM4_S87_L001_R1_001.fastq.gz	14-CM4_S87_L001_R2_001.fastq.gz	D14_CM4_S87	D14_CM4_S87.merged.fastq	D14_CM4_S87.filtered.fasta
14-CM5_S88_L001_R1_001.fastq.gz	14-CM5_S88_L001_R2_001.fastq.gz	D14_CM5_S88	D14_CM5_S88.merged.fastq	D14_CM5_S88.filtered.fasta
14-GF1_S99_L001_R1_001.fastq.gz	14-GF1_S99_L001_R2_001.fastq.gz	D14_GF1_S99	D14_GF1_S99.merged.fastq	D14_GF1_S99.filtered.fasta
14-GF2_S100_L001_R1_001.fastq.gz	14-GF2_S100_L001_R2_001.fastq.gz	D14_GF2_S100	D14_GF2_S100.merged.fastq	D14_GF2_S100.filtered.fasta
14-GF3_S101_L001_R1_001.fastq.gz	14-GF3_S101_L001_R2_001.fastq.gz	D14_GF3_S101	D14_GF3_S101.merged.fastq	D14_GF3_S101.filtered.fasta
14-GF4_S102_L001_R1_001.fastq.gz	14-GF4_S102_L001_R2_001.fastq.gz	D14_GF4_S102	D14_GF4_S102.merged.fastq	D14_GF4_S102.filtered.fasta
14-GF5_S103_L001_R1_001.fastq.gz	14-GF5_S103_L001_R2_001.fastq.gz	D14_GF5_S103	D14_GF5_S103.merged.fastq	D14_GF5_S103.filtered.fasta
14-GM1_S94_L001_R1_001.fastq.gz	14-GM1_S94_L001_R2_001.fastq.gz	D14_GM1_S94	D14_GM1_S94.merged.fastq	D14_GM1_S94.filtered.fasta
14-GM2_S95_L001_R1_001.fastq.gz	14-GM2_S95_L001_R2_001.fastq.gz	D14_GM2_S95	D14_GM2_S95.merged.fastq	D14_GM2_S95.filtered.fasta
14-GM3_S96_L001_R1_001.fastq.gz	14-GM3_S96_L001_R2_001.fastq.gz	D14_GM3_S96	D14_GM3_S96.merged.fastq	D14_GM3_S96.filtered.fasta
14-GM4_S97_L001_R1_001.fastq.gz	14-GM4_S97_L001_R2_001.fastq.gz	D14_GM4_S97	D14_GM4_S97.merged.fastq	D14_GM4_S97.filtered.fasta
14-GM5_S98_L001_R1_001.fastq.gz	14-GM5_S98_L001_R2_001.fastq.gz	D14_GM5_S98	D14_GM5_S98.merged.fastq	D14_GM5_S98.filtered.fasta
7-CF1_S109_L001_R1_001.fastq.gz	7-CF1_S109_L001_R2_001.fastq.gz	D7_CF1_S109	D7_CF1_S109.merged.fastq	D7_CF1_S109.filtered.fasta
7-CF2_S110_L001_R1_001.fastq.gz	7-CF2_S110_L001_R2_001.fastq.gz	D7_CF2_S110	D7_CF2_S110.merged.fastq	D7_CF2_S110.filtered.fasta
7-CF3_S111_L001_R1_001.fastq.gz	7-CF3_S111_L001_R2_001.fastq.gz	D7_CF3_S111	D7_CF3_S111.merged.fastq	D7_CF3_S111.filtered.fasta
7-CF4_S112_L001_R1_001.fastq.gz	7-CF4_S112_L001_R2_001.fastq.gz	D7_CF4_S112	D7_CF4_S112.merged.fastq	D7_CF4_S112.filtered.fasta
7-CF5_S113_L001_R1_001.fastq.gz	7-CF5_S113_L001_R2_001.fastq.gz	D7_CF5_S113	D7_CF5_S113.merged.fastq	D7_CF5_S113.filtered.fasta
7-CM1_S104_L001_R1_001.fastq.gz	7-CM1_S104_L001_R2_001.fastq.gz	D7_CM1_S104	D7_CM1_S104.merged.fastq	D7_CM1_S104.filtered.fasta
7-CM2_S105_L001_R1_001.fastq.gz	7-CM2_S105_L001_R2_001.fastq.gz	D7_CM2_S105	D7_CM2_S105.merged.fastq	D7_CM2_S105.filtered.fasta
7-CM3_S106_L001_R1_001.fastq.gz	7-CM3_S106_L001_R2_001.fastq.gz	D7_CM3_S106	D7_CM3_S106.merged.fastq	D7_CM3_S106.filtered.fasta
7-CM4_S107_L001_R1_001.fastq.gz	7-CM4_S107_L001_R2_001.fastq.gz	D7_CM4_S107	D7_CM4_S107.merged.fastq	D7_CM4_S107.filtered.fasta
7-CM5_S108_L001_R1_001.fastq.gz	7-CM5_S108_L001_R2_001.fastq.gz	D7_CM5_S108	D7_CM5_S108.merged.fastq	D7_CM5_S108.filtered.fasta
7-GF1_S119_L001_R1_001.fastq.gz	7-GF1_S119_L001_R2_001.fastq.gz	D7_GF1_S119	D7_GF1_S119.merged.fastq	D7_GF1_S119.filtered.fasta
7-GF2_S120_L001_R1_001.fastq.gz	7-GF2_S120_L001_R2_001.fastq.gz	D7_GF2_S120	D7_GF2_S120.merged.fastq	D7_GF2_S120.filtered.fasta
